feature,importance_mean,importance_std
height_in,0.2150234741784037,0.017031321264992537
pos_UNK,0.009859154929577407,0.0032863849765258344
height_x_pos_Guard-Forward,0.0,0.0
height_x_pos_Forward-Guard,0.0,0.0
height_x_pos_Forward-Center,0.0,0.0
height_x_pos_Forward,0.0,0.0
height_x_pos_Center-Forward,0.0,0.0
height_x_pos_Center,0.0,0.0
pos_Guard-Forward,0.0,0.0
pos_Forward-Guard,0.0,0.0
pos_Forward-Center,0.0,0.0
pos_Forward,0.0,0.0
pos_Center-Forward,0.0,0.0
pos_Center,0.0,0.0
height_x_pos_UNK,0.0,0.0
pos_Guard,-0.003755868544600993,0.0018779342723004965
college_freq,-0.004694835680751219,0.0029692747982801764
height_x_pos_Guard,-0.0046948356807512415,0.0
college_te,-0.007981220657277032,0.0021514439882421585
