player,college/former,position,pred_prob_top12
Yvonne Ejim,Gonzaga= 1 Point,Forward,0.98
Georgia Amoore,Kentucky= 1 Point,Guard,0.975
Megan McConnell,Duquesne= 1 Point,Guard,0.975
Deja Kelly,Oregon= 1 Point,Guard,0.975
Dazia Lawrence,Kentucky= 1 Point,Guard,0.975
JJ Quinerly,West Virginia= 1 Point,Guard,0.975
Diamond Johnson,Norfolk State = 1 Point,Guard,0.975
Juste Joctye,Lithuania= 0.5 Point,Forward,0.97
Taylen Collins,Auburn= 1 Point,Forward,0.97
Lucy Olsen,Iowa= 1 Point,Guard,0.97
Marine Dursus,France= 0.5 Point,Guard,0.97
Hailey Van Lith,TCU = 1 Point,Guard,0.97
