player,college/former,position,pred_prob_top12
Diamond Johnson,Norfolk State = 1 Point,Guard,1.0
Aziaha James,NC State= 1 Point,Guard,1.0
Taylor Thierry,Ohio State= 1 Point,Forward,1.0
Sania Feagin,South Carolina= 3 Points,Forward,1.0
Juste Joctye,Lithuania= 0.5 Point,Forward,1.0
Madison Hayes,NC State= 1 Point,Guard,1.0
Dazia Lawrence,Kentucky= 1 Point,Guard,1.0
Georgia Woolley,Syracuse= 1 Point,Guard,1.0
Sedona Prince,TCU= 1 Point,Center,1.0
Kennedy Todd-Williams,Mississippi= 1 Point,Guard,1.0
Deja Kelly,Oregon= 1 Point,Guard,1.0
Sonia Citron,Notre Dame= 2 Points,Guard,1.0
